Total,offer
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.5
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.344
1000.0,0.344
1000.0,0.344
1000.0,0.344
1000.0,0.344
1000.0,0.248
1000.0,0.248
1000.0,0.248
1000.0,0.248
1000.0,0.248
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.3
1000.0,0.399
1000.0,0.399
1000.0,0.399
1000.0,0.399
1000.0,0.399
1000.0,0.244
1000.0,0.244
1000.0,0.244
1000.0,0.41
1000.0,0.41
1000.0,0.41
1000.0,0.465
1000.0,0.465
1000.0,0.465
1000.0,0.083
1000.0,0.083
1000.0,0.083
1000.0,0.083
1000.0,0.083
1000.0,0.108
1000.0,0.108
1000.0,0.108
1000.0,0.108
1000.0,0.108
1000.0,0.131
1000.0,0.131
1000.0,0.131
1000.0,0.131
1000.0,0.131
1000.0,0.153
1000.0,0.153
1000.0,0.153
1000.0,0.153
1000.0,0.153
1000.0,0.142
1000.0,0.142
1000.0,0.142
1000.0,0.142
1000.0,0.142
1000.0,0.421
1000.0,0.421
1000.0,0.421
1000.0,0.421
1000.0,0.421
1000.0,0.494
1000.0,0.494
1000.0,0.494
1000.0,0.494
1000.0,0.494
1000.0,0.439
1000.0,0.439
1000.0,0.439
1000.0,0.439
1000.0,0.439
1000.0,0.465
1000.0,0.465
1000.0,0.465
1000.0,0.465
1000.0,0.465
1000.0,0.498
1000.0,0.498
1000.0,0.498
1000.0,0.498
1000.0,0.498
1000.0,0.235
1000.0,0.235
1000.0,0.235
1000.0,0.235
1000.0,0.235
1000.0,0.342
1000.0,0.342
1000.0,0.342
1000.0,0.342
1000.0,0.342
1000.0,0.449
1000.0,0.449
1000.0,0.449
1000.0,0.449
1000.0,0.449
1000.0,0.055
1000.0,0.055
1000.0,0.055
1000.0,0.055
1000.0,0.055
1000.0,0.39
1000.0,0.39
1000.0,0.39
1000.0,0.39
1000.0,0.39
1000.0,0.649
1000.0,0.649
1000.0,0.649
1000.0,0.649
1000.0,0.631
1000.0,0.631
1000.0,0.631
1000.0,0.631
1000.0,0.502
1000.0,0.502
1000.0,0.502
1000.0,0.502
1000.0,0.0
1000.0,0.0
1000.0,0.0
1000.0,0.0
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.31
100.0,0.31
100.0,0.31
100.0,0.31
100.0,0.31
100.0,0.31
100.0,0.32
100.0,0.32
100.0,0.32
100.0,0.32
100.0,0.32
100.0,0.32
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.41
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.42
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.43
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.3
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.44
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.34
100.0,0.34
100.0,0.34
100.0,0.34
100.0,0.34
100.0,0.34
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.33
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.39
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.46
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.45
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.26
100.0,0.1
100.0,0.38
100.0,0.5
100.0,0.01
100.0,0.36
100.0,0.2
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
10.0,0.4
10.0,0.3
10.0,0.5
10.0,0.4
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.5
10.0,0.0
10.0,0.2
10.0,0.1
10.0,0.9
10.0,0.5
10.0,0.8
10.0,0.0
10.0,0.4
10.0,0.5
10.0,0.2
10.0,0.1
10.0,0.4
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.49
100.0,0.49
100.0,0.49
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.13
100.0,0.13
100.0,0.13
100.0,0.1
100.0,0.1
100.0,0.1
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.5
100.0,0.5
100.0,0.5
100.0,0.48
100.0,0.48
100.0,0.48
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.35
100.0,0.29
100.0,0.29
100.0,0.29
100.0,0.47
100.0,0.47
100.0,0.47
100.0,0.4
100.0,0.4
100.0,0.4
100.0,0.24
100.0,0.24
